S. No.,Name of Company,No. Of Offers,CTC
1, Accenture ,74,4.5
2,Accuratics Software ,1,3
3,Addverb Technologies ,2,6.37
4,AKASH + Byjus ,3,7
5,AKS IT Services Pvt. Ltd. ,18,4.5
6,Amazon ,2,13.2
7,APCO Infra Ltd. ,1,4.8
8,Appleute ,1,18
9,Apquod ,1,8
10,ASA Industries ,2,5
11,Avaada Energy ,1,5
12,Axeno Consulting Private Limited ,4,4.5
13,Axismobi ,1,4.5
14,Axtria Ingenious Insights ,7,5
15,Bhartiya Airways ,10,3
16,Bizz2Credit ,5,7.5
17,Blinkit ,4,20
18,Bristlecone (Mahindra Group) ,4,4.75
19,BY JU's ,7,10
20,C2FO ,2,33.8
21,Cadence ,1,13
22,CCC Digital India ,1,6
23,CETPA Infotech Pvt Ltd ,1,5
24,Chaitanya Projects Consultancy ,5,3
25,CMR Green Technologies Ltd ,1,4.5
26,Comviva ,2,3.75
27,constems AI system Pvt Ltd ,1,5
28,Copper Connection Ltd. ,1,3
29,Credencys Solutions Inc. ,1,5.2
30,CRTD Technologies Pvt. Ltd. ,49,4
31,CSG India Pvt. Ltd ,14,7.5
32,Cybix Technical Services LLP ,1,3.5
33,Cyfuture ,2,5
34,D S Power Corporation ,1,7.2
35,Dive Engineering ,1,12
36,DMI Finance ,6,7.6
37,EgonZehnder ,1,3.3
38,Emerson ,8,4.85
39,Ericsson ,8,3.75
40,ETA Engineering Private Limited ,16,3.46
41,Evertz India Pvt. Ltd ,6,5.5
42,EXL Digital ,8,5
43,f1Studioz ,1,8
44,Formulaic Engineers Pvt. Ltd. ,1,3.5
45,Fynd ,1,7
46,G.Bhaiyajii India ,1,6
47,GA Morgan ,4,3
48,Geppert Hydro India Private Limited ,2,3.6
49,Google ,1,29
50,Graas ,1,5.8
51,Greynodes ,1,4
52,HashedIn by Deloitte ,9,8.1
53,HCL ,26,4.25
54,Hely International ,1,4
55,Herody ,1,4.5
56,Hexaware Technologies ,21,4
57,Hike Education ,4,5.8
58,Host Books ,10,4
59,Huron ,12,6.07
60,IBM ,10,4.5
61,Idemia ,2,5
62,Ikargos ,4,5.83
63,INFRA.MARKET ,3,4
64,Inogus Technology Solutions Pvt Ltd ,1,3.5
65,Intellipaat ,7,9
66,Inverted ,5,3
67,ION Group ,3,14.1
68,ISGEC Heavy Engineering Ltd ,4,5
69,Jackson Group ,23,5
70,Jaro Education ,1,6.6
71,JK Lakshmi Cement Ltd. ,1,4.5
72,Josh Technology ,3,18.1
73,JSW ,15,6.5
74,Jubilant FoodWorks ,9,5
75,K International ,1,7.25
76,Kazam ,1,7
77,KMG IT Services ,1,3.25
78,Knocial India Limited ,21,10
79,Koi Reader Technologies Pvt. Ltd. ,1,3
80,Lutron ,2,3.9
81,M carbon ,1,6
82,M Tree ,5,8
83,Magic EdTech ,5,6
84,mCarbon ,1,6
85,Motherson-sumi ,2,3.12
86,MS Cube Systems ,1,5.4
87,MTalkz ,4,6.5
88,Mudraksh & McShaw Advisory LLP ,1,5.4
89,myCaptain ,1,6
90,Nagarro ,9,4.5
91,nbyula ,1,10
92,Newgen ,32,4.25
93,NF3X Labs PTE LTD ,1,24
94,NMTronics India Pvt. Ltd. ,2,6.5
95,OmniJobs ,1,4.5
96,OneXtel Media Pvt. Ltd. ,4,5
97,Orane Consulting Pvt. Ltd. ,5,5.25
98,Paytail ,2,11
99,Phronesis Partners ,5,4.5
100,Physics Wallah ,1,4.5
101,PlayO ,1,9
102,PocketFM ,1,20
103,PPLWork ,1,8
104,Prospecta Software ,1,6
105,Pysis ,1,4.8
106,Qualtech ,3,3.6
107,Quest Global ,9,3.25
108,Quokka Labs ,11,6
109,RACL GearTech Ltd. ,6,3
110,Rate Gain ,2,6
111,RDC concrete (India) Pvt Ltd ,1,4
112,RemoteState ,1,5
113,Rhampage ,1,8.4
114,RTC Tek ,1,3.5
115,RxLogix ,9,6
116,S&P Global ,4,9
117,Sage Technologies ,1,3.5
118,Samagra- Transforming governance ,1,18
119,Samsung Heavy Industries India ,7,6.7
120,SmartCare ,1,4
121,Soft Pro India ,1,4.2
122,Spurtree ,4,4
123,ST Microelectronics Ltd. ,1,3.6
124,Stoa ,1,7.5
125,Super Share ,2,23
126,Talent Serve ,69,10
127,Target ,2,8.02
128,TCS Digital ,7,7.01
129,TCS-NINJA ,48,3.36
130,Technify ,1,15
131,TechRyde ,4,4
132,Telgoo 5 ,3,3.5
133,Tezos ,1,5.88
134,Think future ,1,5.5
135,Timex ,1,3.25
136,Torrent Gas ,2,3.75
137,Torrent Power ,2,3.75
138,uCertify ,2,4.2
139,Ultimate Kronos Group ,8,15.1
140,Uni Converge Technologies ,1,4
141,Unthinkable ,5,5
142,UpRoar Learning ,4,5
143,Vinculum Solutions ,3,5
144,Visdum ,1,3
145,Wayspire Ed Tech Pvt. Ltd. ,3,3.5
146,Webkul ,5,3.6
147,Win Home ,2,4
148,Zia Semiconductors ,12,4.5
149,Z-Scaler ,4,25
150,Zyla Health ,1,5
